,date,score,rating
627,2023-06-26,75.48571428571428,extreme greed
628,2023-06-27,76.51428571428573,extreme greed
629,2023-06-28,79.20000000000002,extreme greed
630,2023-06-29,79.4857142857143,extreme greed
631,2023-07-02,82.22857142857143,extreme greed
632,2023-07-04,79.25714285714287,extreme greed
633,2023-07-05,77.91428571428573,extreme greed
634,2023-07-06,77.68571428571428,extreme greed
635,2023-07-09,76.6857142857143,extreme greed
636,2023-07-10,78.28571428571429,extreme greed
637,2023-07-11,78.17142857142858,extreme greed
638,2023-07-12,79.39999999999999,extreme greed
639,2023-07-13,79.8,extreme greed
640,2023-07-16,80.02857142857142,extreme greed
641,2023-07-17,81.68571428571428,extreme greed
642,2023-07-18,82.34285714285716,extreme greed
643,2023-07-19,80.85714285714286,extreme greed
644,2023-07-20,81.02857142857144,extreme greed
645,2023-07-23,82.51428571428572,extreme greed
646,2023-07-24,81.22857142857143,extreme greed
647,2023-07-25,80.60000000000001,extreme greed
648,2023-07-26,77.65714285714286,extreme greed
649,2023-07-27,76.91428571428573,extreme greed
650,2023-07-30,77.62857142857142,extreme greed
651,2023-07-31,77.34285714285716,extreme greed
652,2023-08-01,77.34285714285714,extreme greed
653,2023-08-02,73.62857142857145,greed
654,2023-08-03,64.5,greed
655,2023-08-06,72.05714285714285,greed
656,2023-08-07,69.2,greed
657,2023-08-08,67.31428571428572,greed
658,2023-08-09,66.34285714285714,greed
659,2023-08-10,65.02857142857144,greed
660,2023-08-13,66.28571428571429,greed
661,2023-08-14,54.5,neutral
662,2023-08-15,49.48571428571428,neutral
663,2023-08-16,46.142857142857146,neutral
664,2023-08-17,43.65714285714286,fear
665,2023-08-20,43.48571428571429,fear
666,2023-08-21,43.44285714285714,fear
667,2023-08-22,50.17142857142857,neutral
668,2023-08-23,40.58571428571429,fear
669,2023-08-24,47.02857142857143,neutral
670,2023-08-27,45.285714285714285,neutral
671,2023-08-28,49.17142857142857,neutral
672,2023-08-29,50.42857142857143,neutral
673,2023-08-30,52.94285714285714,neutral
674,2023-08-31,55.028571428571425,greed
675,2023-09-04,59.08571428571428,greed
676,2023-09-05,56.714285714285715,greed
677,2023-09-06,53.62857142857143,neutral
678,2023-09-07,51.91428571428571,neutral
679,2023-09-10,52.199999999999996,neutral
680,2023-09-11,51.40000000000001,neutral
681,2023-09-12,51.40000000000001,neutral
682,2023-09-13,54.42857142857144,neutral
683,2023-09-14,52.02857142857143,neutral
684,2023-09-17,49.48571428571429,neutral
685,2023-09-18,49.94285714285714,neutral
686,2023-09-19,48.285714285714285,neutral
687,2023-09-20,37.15714285714286,fear
688,2023-09-21,33.15714285714286,fear
